id,code,city_id/id,name
state_city.res_state_kecamatan1,res_state_kecamatan1,state_city.res_state_city1,Arongan Lambalek
state_city.res_state_kecamatan2,res_state_kecamatan2,state_city.res_state_city1,Bubon
state_city.res_state_kecamatan3,res_state_kecamatan3,state_city.res_state_city1,Johan Pahlawan
state_city.res_state_kecamatan4,res_state_kecamatan4,state_city.res_state_city1,Kaway XVI
state_city.res_state_kecamatan5,res_state_kecamatan5,state_city.res_state_city1,Meureubo
state_city.res_state_kecamatan6,res_state_kecamatan6,state_city.res_state_city1,Pante Ceureumen (Pantai Ceuremen)
state_city.res_state_kecamatan7,res_state_kecamatan7,state_city.res_state_city1,Panton Reu
state_city.res_state_kecamatan8,res_state_kecamatan8,state_city.res_state_city1,Samatiga
state_city.res_state_kecamatan9,res_state_kecamatan9,state_city.res_state_city1,Sungai Mas
state_city.res_state_kecamatan10,res_state_kecamatan10,state_city.res_state_city1,Woyla
state_city.res_state_kecamatan11,res_state_kecamatan11,state_city.res_state_city1,Woyla Barat
state_city.res_state_kecamatan12,res_state_kecamatan12,state_city.res_state_city1,Woyla Timur
state_city.res_state_kecamatan13,res_state_kecamatan13,state_city.res_state_city2,Babah Rot
state_city.res_state_kecamatan14,res_state_kecamatan14,state_city.res_state_city2,Blang Pidie
state_city.res_state_kecamatan15,res_state_kecamatan15,state_city.res_state_city2,Jeumpa
state_city.res_state_kecamatan16,res_state_kecamatan16,state_city.res_state_city2,Kuala Batee
state_city.res_state_kecamatan17,res_state_kecamatan17,state_city.res_state_city2,Lembah Sabil
state_city.res_state_kecamatan18,res_state_kecamatan18,state_city.res_state_city2,Manggeng
state_city.res_state_kecamatan19,res_state_kecamatan19,state_city.res_state_city2,Setia
state_city.res_state_kecamatan20,res_state_kecamatan20,state_city.res_state_city2,Susoh
state_city.res_state_kecamatan21,res_state_kecamatan21,state_city.res_state_city2,Tangan-Tangan
state_city.res_state_kecamatan22,res_state_kecamatan22,state_city.res_state_city3,Baitussalam
state_city.res_state_kecamatan23,res_state_kecamatan23,state_city.res_state_city3,Blank Bintang
state_city.res_state_kecamatan24,res_state_kecamatan24,state_city.res_state_city3,Darul Imarah
state_city.res_state_kecamatan25,res_state_kecamatan25,state_city.res_state_city3,Darul Kamal
state_city.res_state_kecamatan26,res_state_kecamatan26,state_city.res_state_city3,Darussalam
state_city.res_state_kecamatan27,res_state_kecamatan27,state_city.res_state_city3,Indrapuri
state_city.res_state_kecamatan28,res_state_kecamatan28,state_city.res_state_city3,Ingin Jaya
state_city.res_state_kecamatan29,res_state_kecamatan29,state_city.res_state_city3,Kota Cot Glie (Kuta Cot Glie)
state_city.res_state_kecamatan30,res_state_kecamatan30,state_city.res_state_city3,Kota Jantho
state_city.res_state_kecamatan31,res_state_kecamatan31,state_city.res_state_city3,Kota Malaka (Kuta Malaka)
state_city.res_state_kecamatan32,res_state_kecamatan32,state_city.res_state_city3,Krueng Barona Jaya
state_city.res_state_kecamatan33,res_state_kecamatan33,state_city.res_state_city3,Kuta Baro
state_city.res_state_kecamatan34,res_state_kecamatan34,state_city.res_state_city3,Lembah Seulawah
state_city.res_state_kecamatan35,res_state_kecamatan35,state_city.res_state_city3,Leupung
state_city.res_state_kecamatan36,res_state_kecamatan36,state_city.res_state_city3,Lhoknga (Lho'nga)
state_city.res_state_kecamatan37,res_state_kecamatan37,state_city.res_state_city3,Lhoong
state_city.res_state_kecamatan38,res_state_kecamatan38,state_city.res_state_city3,Mantasiek (Montasik)
state_city.res_state_kecamatan39,res_state_kecamatan39,state_city.res_state_city3,Mesjid Raya
state_city.res_state_kecamatan40,res_state_kecamatan40,state_city.res_state_city3,Peukan Bada
state_city.res_state_kecamatan41,res_state_kecamatan41,state_city.res_state_city3,Pulo Aceh
state_city.res_state_kecamatan42,res_state_kecamatan42,state_city.res_state_city3,Seulimeum
state_city.res_state_kecamatan43,res_state_kecamatan43,state_city.res_state_city3,Simpang Tiga
state_city.res_state_kecamatan44,res_state_kecamatan44,state_city.res_state_city3,Suka Makmur
state_city.res_state_kecamatan45,res_state_kecamatan45,state_city.res_state_city4,Darul Hikmah
state_city.res_state_kecamatan46,res_state_kecamatan46,state_city.res_state_city4,Indra Jaya
state_city.res_state_kecamatan47,res_state_kecamatan47,state_city.res_state_city4,Jaya
state_city.res_state_kecamatan48,res_state_kecamatan48,state_city.res_state_city4,Keude Panga
state_city.res_state_kecamatan49,res_state_kecamatan49,state_city.res_state_city4,Krueng Sabee
state_city.res_state_kecamatan50,res_state_kecamatan50,state_city.res_state_city4,Pasie Raya
state_city.res_state_kecamatan51,res_state_kecamatan51,state_city.res_state_city4,Sampoiniet
state_city.res_state_kecamatan52,res_state_kecamatan52,state_city.res_state_city4,Setia Bakti
state_city.res_state_kecamatan53,res_state_kecamatan53,state_city.res_state_city4,Teunom
state_city.res_state_kecamatan54,res_state_kecamatan54,state_city.res_state_city5,Bakongan
state_city.res_state_kecamatan55,res_state_kecamatan55,state_city.res_state_city5,Bakongan Timur
state_city.res_state_kecamatan56,res_state_kecamatan56,state_city.res_state_city5,Kluet Selatan
state_city.res_state_kecamatan57,res_state_kecamatan57,state_city.res_state_city5,Kluet Tengah
state_city.res_state_kecamatan58,res_state_kecamatan58,state_city.res_state_city5,Kluet Timur
state_city.res_state_kecamatan59,res_state_kecamatan59,state_city.res_state_city5,Kluet Utara
state_city.res_state_kecamatan60,res_state_kecamatan60,state_city.res_state_city5,Kota Bahagia
state_city.res_state_kecamatan61,res_state_kecamatan61,state_city.res_state_city5,Labuhan Haji
state_city.res_state_kecamatan62,res_state_kecamatan62,state_city.res_state_city5,Labuhan Haji Barat
state_city.res_state_kecamatan63,res_state_kecamatan63,state_city.res_state_city5,Labuhan Haji Timur
state_city.res_state_kecamatan64,res_state_kecamatan64,state_city.res_state_city5,Meukek
state_city.res_state_kecamatan65,res_state_kecamatan65,state_city.res_state_city5,Pasie Raja
state_city.res_state_kecamatan66,res_state_kecamatan66,state_city.res_state_city5,Sama Dua
state_city.res_state_kecamatan67,res_state_kecamatan67,state_city.res_state_city5,Sawang
